Open,High,Low,Close,SMA_50,SMA_200,RSI_14,ATR,ATR_Percent,Volatility_Class,Trend_Status,Extension_Status,Swing_Eligibility,Swing_Score,Swing_Label,Ticker,Date,Session
1425.5999755859375,1443.9000244140625,1415.0,1421.699951171875,1373.7100024414062,1403.0670025634765,65.60763668732156,22.928580147879465,1.6127580316071584,LOW_VOL,Transition,0.0,1.0,15.0,NEUTRAL,ICICIBANK,2026-01-14,OPEN
900.7000122070312,902.0,881.0,883.7999877929688,924.52,949.849250793457,33.77861461746423,15.478563581194196,1.751364991512092,LOW_VOL,Recovery,0.0,0.0,10.0,FORBIDDEN,ZYDUSLIFE,2026-01-14,OPEN
1179.199951171875,1205.699951171875,1167.800048828125,1182.0,1201.9319970703125,1234.1259979248048,42.18680258125316,34.064261300223215,2.881917199680475,LOW_VOL,Recovery,0.0,0.0,12.0,NEUTRAL,KPITTECH,2026-01-14,OPEN
1419.0,1432.300048828125,1410.0,1422.199951171875,1530.1319946289063,1533.231753540039,31.589030194099493,31.45001220703125,2.211363611784463,LOW_VOL,Recovery,0.0,0.0,10.0,FORBIDDEN,CDSL,2026-01-14,OPEN
1625.4000244140625,1645.5999755859375,1613.699951171875,1617.9000244140625,1783.0800024414064,1769.4190020751953,11.034888995095884,52.942862374441965,3.272319771032559,MID_VOL,Recovery,0.0,0.0,8.0,FORBIDDEN,GRAVITA,2026-01-14,OPEN
985.7000122070312,999.0,966.0,983.0,1024.065,1032.436247253418,42.58451421382978,32.20357404436384,3.276050258836606,MID_VOL,Recovery,0.0,0.0,10.0,FORBIDDEN,GROBTEA,2026-01-14,OPEN
908.5999755859375,924.75,905.2000122070312,914.7999877929688,996.3529992675781,1181.7662457275392,36.208131894998736,23.739283970424108,2.5950245176212903,LOW_VOL,Recovery,0.0,0.0,10.0,FORBIDDEN,SUDARSCHEM,2026-01-14,OPEN
1530.699951171875,1563.0999755859375,1516.0999755859375,1542.0,1527.8260009765625,1480.6907458496094,61.655224319128116,48.492885044642854,3.1448044776032984,MID_VOL,Bull,0.0,1.0,19.0,BUY,SOBHA,2026-01-14,OPEN
1321.0,1328.199951171875,1302.199951171875,1308.4000244140625,1267.0719946289062,1209.421748046875,65.88389398288788,22.864292689732142,1.7475001729667043,LOW_VOL,Bull,0.0,1.0,19.0,BUY,NESTLEIND,2026-01-14,OPEN
1186.0,1209.0,1183.699951171875,1202.0,1320.2319970703124,1440.0957495117189,38.188843491171056,46.80000523158482,3.8935112505478218,MID_VOL,Recovery,0.0,0.0,8.0,FORBIDDEN,WABAG,2026-01-14,OPEN
1305.0,1354.0,1278.0,1280.5,1527.0999975585937,1739.4409973144532,37.19994772836806,80.15001569475446,6.259274946876568,HIGH_VOL,Recovery,0.0,0.0,6.0,FORBIDDEN,YASHO,2026-01-14,OPEN
2105.0,2183.89990234375,2092.10009765625,2180.199951171875,2051.9799951171876,2125.4479974365236,60.37514033416884,49.77854701450893,2.2832101701384113,LOW_VOL,Transition,0.0,1.0,17.0,NEUTRAL,DALBHARAT,2026-01-14,OPEN
2951.0,2986.199951171875,2940.5,2979.0,2969.203994140625,3288.807745361328,46.79903617247592,70.35712541852679,2.3617699032738098,LOW_VOL,Recovery,0.0,0.0,14.0,NEUTRAL,THERMAX,2026-01-14,OPEN
1189.4000244140625,1191.0,1168.699951171875,1172.0,1171.8119995117188,1124.831254272461,48.09323376329486,22.964285714285715,1.9594100438810338,LOW_VOL,Bull,0.0,1.0,21.0,BUY,TATACONSUM,2026-01-14,OPEN
712.0,734.0,711.0,723.9500122070312,760.6859973144532,779.6989965820312,36.92587796770899,16.96785627092634,2.3437883810787157,LOW_VOL,Recovery,0.0,0.0,10.0,FORBIDDEN,CAMS,2026-01-14,OPEN
771.25,774.0,741.5499877929688,747.2999877929688,899.2289990234375,1297.4047497558595,14.035570346943786,26.578578404017858,3.5566143233206047,MID_VOL,Recovery,0.0,0.0,8.0,FORBIDDEN,GANECOS,2026-01-14,OPEN
1222.0,1222.0,1189.199951171875,1208.5999755859375,1265.8579956054687,1424.10375,30.21252037541835,26.842878069196427,2.220989459823778,LOW_VOL,Recovery,0.0,0.0,10.0,FORBIDDEN,AMBIKCO,2026-01-14,OPEN
1419.0,1419.0,1371.5,1382.5999755859375,1450.4819970703124,1098.555998840332,42.496814510097,85.60716901506696,6.1917525333954355,HIGH_VOL,Bull,0.0,0.0,15.0,NEUTRAL,JINDALPHOT,2026-01-14,OPEN
1500.0,1525.5999755859375,1490.4000244140625,1524.9000244140625,1431.5919995117188,1395.7972521972656,64.01322282439803,54.86427525111607,3.5978932633434426,MID_VOL,Bull,0.0,1.0,19.0,BUY,IPCALAB,2026-01-14,OPEN
933.0499877929688,940.2999877929688,923.0,928.0,1044.3660009765624,1180.3352474975586,16.33163021860946,19.382154192243302,2.088594201750356,LOW_VOL,Recovery,0.0,0.0,10.0,FORBIDDEN,GRINFRA,2026-01-14,OPEN
1737.0999755859375,1737.0999755859375,1689.199951171875,1699.199951171875,1759.9080004882812,1697.2824963378907,39.60394975914957,28.042855398995535,1.6503564150678922,LOW_VOL,Bull,0.0,1.0,17.0,NEUTRAL,SUNPHARMA,2026-01-14,OPEN
