Tickers,Score
SHARDAMOTR,5
MACPOWER,5
UNIVCABLES,6
AVADHSUGAR,6
ICEMAKE,7
NAM-INDIA,8
SUMICHEM,7
REPRO,5
MONTECARLO,6
BPCL,8
PNCINFRA,5
ATULAUTO,6
EMSLIMITED,5
NDRAUTO,7
SYRMA,7
PITTIENG,5
VGUARD,7
PNB,5
SAGCEM,5
HITECHGEAR,5
RAMCOIND,6
SHRIRAMFIN,8
TVSSCS,6
ORIENTHOT,5
RSYSTEMS,6
EMIL,5
MONARCH,6
NINSYS,5
ARVINDFASN,6
BEL,8
TATVA,5
SUMMITSEC,5
CARTRADE,7
ANUP,6
MPSLTD,7
IFBIND,6
NILKAMAL,7
GMBREW,7
MRF,8
ABB,8
KEI,9
HAL,9
ESCORTS,7
CHOLAFIN,8
TCS,7
RRKABEL,7
APLAPOLLO,8
DIAMONDYD,5
SAKSOFT,5
STOVEKRAFT,6
PANSARI,6
SUBROS,6
MAHLIFE,7
PRIMESECU,7
NAVA,6
WEALTH,5
RALLIS,7
NRAIL,5
GALLANTT,5
WESTLIFE,6
DBCORP,5
INDUSINDBK,7
DEEPINDS,7
INDIANCARD,5
SIYSIL,6
ABCAPITAL,8
BIRLACABLE,5
ONGC,8
INDNIPPON,7
TRITURBINE,8
KANSAINER,7
GUJALKALI,6
RAMRAT,7
MARINE,6
SDBL,5
GMRP&UI,7
ADFFOODS,7
ASHAPURMIN,5
GOCLCORP,6
NATCOPHARM,7
MANYAVAR,7
CENTUM,8
ENDURANCE,9
VOLTAS,8
MANORAMA,8
SJS,8
CHOLAHLDNG,7
GODFRYPHLP,7
POCL,7
LANDMARK,5
YATHARTH,7
ORBTEXP,6
ASIANENE,8
DECCANCE,7
SAMHI,7
PARAS,7
IRCTC,8
VLSFINANCE,5
TDPOWERSYS,7
MARKSANS,7
JSWINFRA,8
VESUVIUS,7
TALBROAUTO,7
SURYAROSNI,7
TATASTEEL,9
POONAWALLA,7
HINDPETRO,7
AYMSYNTEX,7
EXIDEIND,7
CHEMFAB,5
SHAREINDIA,7
HERITGFOOD,6
STARPAPER,5
CGPOWER,8
KPIGREEN,7
GOKEX,5
RAYMOND,5
TITAGARH,7
BORORENEW,7
BALRAMCHIN,6
SKIPPER,7
KALYANIFRG,6
USHAMART,6
CHENNPETRO,7
BERGEPAINT,7
VTL,6
MANAKCOAT,7
