Open,High,Low,Close,SMA_50,SMA_200,RSI_14,ATR,ATR_Percent,Volatility_Class,Trend_Status,Extension_Status,Swing_Eligibility,Swing_Score,Swing_Label,Ticker,Date,Session
1408.0,1429.9000244140625,1404.199951171875,1427.699951171875,1366.046005859375,1401.0990026855468,75.6697509802743,16.092860630580358,1.1271878672665867,LOW_VOL,Transition,0.0,1.0,13.0,NEUTRAL,ICICIBANK,2026-01-07,HISTORICAL
928.0,941.0,923.2000122070312,927.5499877929688,932.5810009765624,950.1787506103516,59.09685356724865,12.939278738839286,1.3949953004287423,LOW_VOL,Transition,0.0,0.0,17.0,NEUTRAL,ZYDUSLIFE,2026-01-07,HISTORICAL
1139.800048828125,1217.699951171875,1139.4000244140625,1208.5,1200.3739965820312,1238.4294982910155,59.219165089865854,30.092843191964285,2.4900987333027955,LOW_VOL,Transition,0.0,0.0,17.0,NEUTRAL,KPITTECH,2026-01-07,HISTORICAL
1452.0999755859375,1479.9000244140625,1446.300048828125,1475.5999755859375,1545.4519946289063,1527.8500042724609,46.085006909132616,24.328569684709823,1.6487239148299206,LOW_VOL,Recovery,0.0,0.0,14.0,NEUTRAL,CDSL,2026-01-07,HISTORICAL
1825.4000244140625,1834.0,1780.0,1784.5,1788.8859985351562,1772.4845013427735,38.43012191528627,48.528573172433035,2.7194493231960233,LOW_VOL,Bull,0.0,1.0,17.0,NEUTRAL,GRAVITA,2026-01-07,HISTORICAL
989.7999877929688,1020.5,972.2999877929688,984.7999877929688,1030.8999987792968,1028.5537475585938,42.01111344534757,24.021440778459823,2.439220255505301,LOW_VOL,Recovery,0.0,0.0,12.0,NEUTRAL,GROBTEA,2026-01-07,HISTORICAL
965.4500122070312,982.9500122070312,959.6500244140625,976.4000244140625,1019.7290002441406,1183.1574960327148,56.06468404055626,21.789289202008927,2.231594495819956,LOW_VOL,Recovery,0.0,0.0,14.0,NEUTRAL,SUDARSCHEM,2026-01-07,HISTORICAL
1550.0999755859375,1558.300048828125,1509.0,1529.0999755859375,1531.932001953125,1473.2552459716796,66.19555967948375,42.192879813058035,2.7593277409405554,LOW_VOL,Bull,0.0,1.0,19.0,BUY,SOBHA,2026-01-07,HISTORICAL
1312.5,1332.699951171875,1304.199951171875,1314.800048828125,1263.1259936523438,1204.8761236572266,80.04435309975477,20.071428571428573,1.5265765003065024,LOW_VOL,Bull,0.0,1.0,17.0,NEUTRAL,NESTLEIND,2026-01-07,HISTORICAL
1207.0,1237.800048828125,1167.0,1230.9000244140625,1340.95599609375,1447.6182495117187,36.897274633123686,40.321437290736604,3.275768664472207,MID_VOL,Recovery,0.0,0.0,8.0,FORBIDDEN,WABAG,2026-01-07,HISTORICAL
